County,Registered Voters,# In Person On 09/29/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
SOMERVELL,"7,344",0,0,0.0%,0,0,0.0%,Click Here
WARD,"7,026",0,0,0.0%,0,0,0.0%,Click Here
ARCHER,"6,968",0,0,0.0%,0,0,0.0%,Click Here
RUNNELS,"6,829",0,0,0.0%,0,0,0.0%,Click Here
DAWSON,"6,734",0,0,0.0%,0,0,0.0%,Click Here
DIMMIT,"6,679",0,0,0.0%,0,0,0.0%,Click Here
TERRY,"6,367",0,0,0.0%,0,0,0.0%,Click Here
HAMILTON,"6,260",0,0,0.0%,0,0,0.0%,Click Here
COLEMAN,"6,139",0,0,0.0%,0,0,0.0%,Click Here
SAN AUGUSTINE,"6,001",0,0,0.0%,0,0,0.0%,Click Here
STEPHENS,"5,858",0,0,0.0%,0,0,0.0%,Click Here
GOLIAD,"5,833",0,0,0.0%,0,0,0.0%,Click Here
JACK,"5,825",0,0,0.0%,0,0,0.0%,Click Here
MCCULLOCH,"5,379",0,0,0.0%,0,0,0.0%,Click Here
OCHILTREE,"5,195",0,0,0.0%,0,0,0.0%,Click Here
BROOKS,"4,940",0,0,0.0%,0,0,0.0%,Click Here
REFUGIO,"4,938",0,0,0.0%,8,8,0.16%,Click Here
PARMER,"4,556",0,0,0.0%,0,0,0.0%,Click Here
MITCHELL,"4,523",0,0,0.0%,0,0,0.0%,Click Here
PRESIDIO,"4,417",0,0,0.0%,0,0,0.0%,Click Here
LYNN,"4,347",0,0,0.0%,0,0,0.0%,Click Here
YOAKUM,"4,289",0,0,0.0%,6,6,0.14%,Click Here
CARSON,"4,284",0,0,0.0%,0,0,0.0%,Click Here
LASALLE,"4,210",0,0,0.0%,40,40,0.95%,Click Here
DELTA,"4,112",0,0,0.0%,27,27,0.66%,Click Here
WINKLER,"4,045",0,0,0.0%,0,0,0.0%,Click Here
SWISHER,"3,884",0,0,0.0%,0,0,0.0%,Click Here
SAN SABA,"3,775",0,0,0.0%,0,0,0.0%,Click Here
CHILDRESS,"3,752",0,0,0.0%,0,0,0.0%,Click Here
CASTRO,"3,697",0,0,0.0%,0,0,0.0%,Click Here
FLOYD,"3,660",0,0,0.0%,0,0,0.0%,Click Here
CROSBY,"3,598",0,0,0.0%,0,0,0.0%,Click Here
MILLS,"3,595",0,0,0.0%,0,0,0.0%,Click Here
JIM HOGG,"3,568",0,0,0.0%,0,0,0.0%,Click Here
MARTIN,"3,471",0,0,0.0%,0,0,0.0%,Click Here
HASKELL,"3,419",0,0,0.0%,0,0,0.0%,Click Here
WHEELER,"3,408",0,0,0.0%,13,13,0.38%,Click Here
KIMBLE,"3,297",0,0,0.0%,0,0,0.0%,Click Here
MASON,"3,278",0,0,0.0%,19,19,0.58%,Click Here
BAILEY,"3,172",0,0,0.0%,1,1,0.03%,Click Here
HANSFORD,"3,002",0,0,0.0%,0,0,0.0%,Click Here
DALLAM,"2,865",0,0,0.0%,0,0,0.0%,Click Here
HARTLEY,"2,846",0,0,0.0%,0,0,0.0%,Click Here
FISHER,"2,689",0,0,0.0%,0,0,0.0%,Click Here
CRANE,"2,684",0,0,0.0%,0,0,0.0%,Click Here
REAL,"2,684",0,0,0.0%,0,0,0.0%,Click Here
GARZA,"2,634",0,0,0.0%,0,0,0.0%,Click Here
SHACKELFORD,"2,439",0,0,0.0%,4,4,0.16%,Click Here
BAYLOR,"2,430",0,0,0.0%,3,3,0.12%,Click Here
HARDEMAN,"2,394",0,0,0.0%,0,0,0.0%,Click Here
COKE,"2,375",0,0,0.0%,0,0,0.0%,Click Here
SUTTON,"2,348",0,0,0.0%,1,1,0.04%,Click Here
HEMPHILL,"2,347",0,0,0.0%,2,2,0.09%,Click Here
DONLEY,"2,337",0,0,0.0%,0,0,0.0%,Click Here
CROCKETT,"2,282",0,0,0.0%,0,0,0.0%,Click Here
KNOX,"2,230",0,0,0.0%,0,0,0.0%,Click Here
HUDSPETH,"2,199",0,0,0.0%,0,0,0.0%,Click Here
KINNEY,"2,175",0,0,0.0%,0,0,0.0%,Click Here
UPTON,"2,096",0,0,0.0%,0,0,0.0%,Click Here
COLLINGSWORTH,"1,881",0,0,0.0%,0,0,0.0%,Click Here
HALL,"1,872",0,0,0.0%,0,0,0.0%,Click Here
LIPSCOMB,"1,820",0,0,0.0%,0,0,0.0%,Click Here
REAGAN,"1,803",0,0,0.0%,0,0,0.0%,Click Here
CONCHO,"1,777",0,0,0.0%,0,0,0.0%,Click Here
SCHLEICHER,"1,746",0,0,0.0%,0,0,0.0%,Click Here
CULBERSON,"1,678",0,0,0.0%,0,0,0.0%,Click Here
COCHRAN,"1,676",0,0,0.0%,6,6,0.36%,Click Here
JEFF DAVIS,"1,562",0,0,0.0%,0,0,0.0%,Click Here
MENARD,"1,510",0,0,0.0%,0,0,0.0%,Click Here
EDWARDS,"1,478",0,0,0.0%,0,0,0.0%,Click Here
SHERMAN,"1,444",0,0,0.0%,0,0,0.0%,Click Here
DICKENS,"1,433",0,0,0.0%,1,1,0.07%,Click Here
ARMSTRONG,"1,418",0,0,0.0%,0,0,0.0%,Click Here
OLDHAM,"1,341",0,0,0.0%,0,0,0.0%,Click Here
IRION,"1,225",0,0,0.0%,0,0,0.0%,Click Here
THROCKMORTON,"1,210",0,0,0.0%,0,0,0.0%,Click Here
BRISCOE,"1,031",0,0,0.0%,0,0,0.0%,Click Here
COTTLE,993,0,0,0.0%,0,0,0.0%,Click Here
STONEWALL,941,0,0,0.0%,0,0,0.0%,Click Here
STERLING,864,0,0,0.0%,0,0,0.0%,Click Here
MOTLEY,840,0,0,0.0%,0,0,0.0%,Click Here
GLASSCOCK,840,0,0,0.0%,2,2,0.24%,Click Here
FOARD,801,0,0,0.0%,0,0,0.0%,Click Here
ROBERTS,721,0,0,0.0%,0,0,0.0%,Click Here
MCMULLEN,629,0,0,0.0%,0,0,0.0%,Click Here
TERRELL,627,0,0,0.0%,0,0,0.0%,Click Here
KENT,602,0,0,0.0%,0,0,0.0%,Click Here
BORDEN,478,0,0,0.0%,0,0,0.0%,Click Here
KENEDY,271,0,0,0.0%,0,0,0.0%,Click Here
KING,163,0,0,0.0%,0,0,0.0%,Click Here
LOVING,126,0,0,0.0%,0,0,0.0%,Click Here
TOTAL,"18,623,931",12,12,0.0%,"1,584","1,596",0.01%,
