County,Registered Voters,# In Person On 10/03/2024,Cumulative In-Person Voters,Cumulative % In-Person,Cumulative By Mail Voters,Cumulative In-Person And Mail Voters,Cumulative Percent Early Voting,Voter Details Report
FRIO,"9,486",0,0,0.0%,0,0,0.0%,Click Here
NEWTON,"9,478",0,0,0.0%,0,0,0.0%,Click Here
RAINS,"9,404",0,0,0.0%,0,0,0.0%,Click Here
SCURRY,"9,366",0,0,0.0%,14,14,0.15%,Click Here
MORRIS,"8,948",0,0,0.0%,2,2,0.02%,Click Here
DEAF SMITH,"8,756",0,0,0.0%,2,2,0.02%,Click Here
RED RIVER,"8,658",0,0,0.0%,0,0,0.0%,Click Here
NOLAN,"8,494",0,0,0.0%,16,16,0.19%,Click Here
MADISON,"8,471",0,0,0.0%,1,1,0.01%,Click Here
KARNES,"8,449",0,0,0.0%,31,31,0.37%,Click Here
SABINE,"8,446",0,0,0.0%,47,47,0.56%,Click Here
CAMP,"8,424",0,0,0.0%,8,8,0.09%,Click Here
PECOS,"8,320",0,0,0.0%,0,0,0.0%,Click Here
CLAY,"8,291",0,0,0.0%,39,39,0.47%,Click Here
WILBARGER,"8,126",0,0,0.0%,5,5,0.06%,Click Here
ZAPATA,"8,117",0,0,0.0%,0,0,0.0%,Click Here
DUVAL,"7,971",0,0,0.0%,0,0,0.0%,Click Here
REEVES,"7,838",0,0,0.0%,28,28,0.36%,Click Here
LAMB,"7,826",0,0,0.0%,0,0,0.0%,Click Here
ZAVALA,"7,810",0,0,0.0%,0,0,0.0%,Click Here
LIVE OAK,"7,774",0,0,0.0%,18,18,0.23%,Click Here
MARION,"7,773",0,0,0.0%,0,0,0.0%,Click Here
FRANKLIN,"7,599",0,0,0.0%,27,27,0.36%,Click Here
SOMERVELL,"7,420",0,0,0.0%,1,1,0.01%,Click Here
BREWSTER,"7,408",0,0,0.0%,46,46,0.62%,Click Here
WARD,"7,026",0,0,0.0%,0,0,0.0%,Click Here
ARCHER,"7,008",0,0,0.0%,4,4,0.06%,Click Here
RUNNELS,"6,829",0,0,0.0%,0,0,0.0%,Click Here
DAWSON,"6,734",0,0,0.0%,0,0,0.0%,Click Here
DIMMIT,"6,706",0,0,0.0%,0,0,0.0%,Click Here
TERRY,"6,412",0,0,0.0%,18,18,0.28%,Click Here
HAMILTON,"6,260",0,0,0.0%,0,0,0.0%,Click Here
COLEMAN,"6,139",0,0,0.0%,0,0,0.0%,Click Here
SAN AUGUSTINE,"6,038",0,0,0.0%,5,5,0.08%,Click Here
STEPHENS,"5,858",0,0,0.0%,0,0,0.0%,Click Here
GOLIAD,"5,833",0,0,0.0%,0,0,0.0%,Click Here
JACK,"5,825",0,0,0.0%,0,0,0.0%,Click Here
MCCULLOCH,"5,379",0,0,0.0%,0,0,0.0%,Click Here
OCHILTREE,"5,195",0,0,0.0%,0,0,0.0%,Click Here
BROOKS,"4,945",0,0,0.0%,18,18,0.36%,Click Here
REFUGIO,"4,938",0,0,0.0%,11,11,0.22%,Click Here
PARMER,"4,549",0,0,0.0%,0,0,0.0%,Click Here
MITCHELL,"4,526",0,0,0.0%,4,4,0.09%,Click Here
PRESIDIO,"4,417",0,0,0.0%,0,0,0.0%,Click Here
LYNN,"4,347",0,0,0.0%,0,0,0.0%,Click Here
CARSON,"4,297",0,0,0.0%,19,19,0.44%,Click Here
YOAKUM,"4,289",0,0,0.0%,9,9,0.21%,Click Here
LASALLE,"4,210",0,0,0.0%,76,76,1.81%,Click Here
DELTA,"4,112",0,0,0.0%,45,45,1.09%,Click Here
WINKLER,"4,045",0,0,0.0%,0,0,0.0%,Click Here
SWISHER,"3,900",0,0,0.0%,0,0,0.0%,Click Here
SAN SABA,"3,775",0,0,0.0%,0,0,0.0%,Click Here
CHILDRESS,"3,752",0,0,0.0%,0,0,0.0%,Click Here
CASTRO,"3,697",0,0,0.0%,0,0,0.0%,Click Here
FLOYD,"3,660",0,0,0.0%,19,19,0.52%,Click Here
CROSBY,"3,598",0,0,0.0%,0,0,0.0%,Click Here
MILLS,"3,595",0,0,0.0%,0,0,0.0%,Click Here
JIM HOGG,"3,568",0,0,0.0%,0,0,0.0%,Click Here
MARTIN,"3,497",0,0,0.0%,1,1,0.03%,Click Here
