day,requested,sent,returned,party,method
2020-10-23 00:00:00,438884,436613,365051,DEM,MAIL
2020-10-23 00:00:00,849986,849986,849986,DEM,EARLY VOTING
2020-10-24 00:00:00,439370,437388,370154,DEM,MAIL
2020-10-24 00:00:00,892455,892455,892455,DEM,EARLY VOTING
2020-10-25 00:00:00,439615,437603,371315,DEM,MAIL
2020-10-25 00:00:00,915055,915055,915055,DEM,EARLY VOTING
2020-10-26 00:00:00,440525,439316,381721,DEM,MAIL
2020-10-26 00:00:00,981903,981903,981903,DEM,EARLY VOTING
2020-10-27 00:00:00,441430,440264,388009,DEM,MAIL
2020-10-27 00:00:00,1044244,1044244,1044244,DEM,EARLY VOTING
2020-10-28 00:00:00,441575,441145,399020,DEM,MAIL
2020-10-28 00:00:00,1102696,1102696,1102696,DEM,EARLY VOTING
2020-10-29 00:00:00,441687,441467,408457,DEM,MAIL
2020-10-29 00:00:00,1155496,1155496,1155496,DEM,EARLY VOTING
2020-10-30 00:00:00,441796,441699,416536,DEM,MAIL
2020-10-30 00:00:00,1225916,1225916,1225916,DEM,EARLY VOTING
2020-10-31 00:00:00,441849,441788,422231,DEM,MAIL
2020-10-31 00:00:00,1280891,1280891,1280891,DEM,EARLY VOTING
2020-11-01 00:00:00,441872,441828,424445,DEM,MAIL
2020-11-01 00:00:00,1280891,1280891,1280891,DEM,EARLY VOTING
2020-11-02 00:00:00,442014,442013,431321,DEM,MAIL
2020-11-02 00:00:00,1280891,1280891,1280891,DEM,EARLY VOTING
2020-11-03 00:00:00,442014,442014,438364,DEM,MAIL
2020-11-03 00:00:00,1280891,1280891,1280891,DEM,EARLY VOTING
2020-09-18 00:00:00,133895,114560,19697,REP,MAIL
2020-09-18 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-19 00:00:00,134996,115470,20305,REP,MAIL
2020-09-19 00:00:00,0,0,0,REP,EARLY VOTING
2020-09-20 00:00:00,135801,115969,20368,REP,MAIL
2020-09-20 00:00:00,0,0,0,REP,EARLY VOTING
